date,ticker,price
2026-06-23,TICK0001,190.34
2026-06-23,TICK0002,461.28
2026-06-23,TICK0003,372.18
2026-06-23,TICK0004,63.56
2026-06-23,TICK0005,316.26
2026-06-23,TICK0006,51.46
2026-06-23,TICK0007,470.04
2026-06-23,TICK0008,398.13
2026-06-23,TICK0009,209.37
2026-06-23,TICK0010,297.6
2026-06-23,TICK0011,440.74
2026-06-23,TICK0012,409.88
2026-06-23,TICK0013,236.96
2026-06-23,TICK0014,433.83
2026-06-23,TICK0015,454.49
2026-06-23,TICK0016,344.71
2026-06-23,TICK0017,54.47
2026-06-23,TICK0018,275.79
2026-06-23,TICK0019,473.32
2026-06-23,TICK0020,175.02
2026-06-23,TICK0021,237.07
2026-06-23,TICK0022,230.89
2026-06-23,TICK0023,431.39
2026-06-23,TICK0024,191.51
2026-06-23,TICK0025,326.95
2026-06-23,TICK0026,387.62
2026-06-23,TICK0027,470.89
2026-06-23,TICK0028,62.85
2026-06-23,TICK0029,123.93
2026-06-23,TICK0030,440.41
2026-06-23,TICK0031,156.65
2026-06-23,TICK0032,24.79
2026-06-23,TICK0033,392.06
2026-06-23,TICK0034,423.34
2026-06-23,TICK0035,242.43
2026-06-23,TICK0036,406.52
2026-06-23,TICK0037,109.38
2026-06-23,TICK0038,381.88
2026-06-23,TICK0039,476.49
2026-06-23,TICK0040,305.07
2026-06-23,TICK0041,497.19
2026-06-23,TICK0042,483.21
2026-06-23,TICK0043,462.33
2026-06-23,TICK0044,254.43
2026-06-23,TICK0045,19.66
2026-06-23,TICK0046,265.89
2026-06-23,TICK0047,402.63
2026-06-23,TICK0048,362.9
2026-06-23,TICK0049,469.12
2026-06-23,TICK0050,357.31
2026-06-23,TICK0051,230.65
2026-06-23,TICK0052,277.87
2026-06-23,TICK0053,41.37
2026-06-23,TICK0054,318.86
2026-06-23,TICK0055,422.58
2026-06-23,TICK0056,425.73
2026-06-23,TICK0057,384.58
2026-06-23,TICK0058,218.79
2026-06-23,TICK0059,305.2
2026-06-23,TICK0060,345.1
2026-06-23,TICK0061,68.22
2026-06-23,TICK0062,44.01
2026-06-23,TICK0063,276.1
2026-06-23,TICK0064,438.39
2026-06-23,TICK0065,424.24
2026-06-23,TICK0066,41.85
2026-06-23,TICK0067,414.59
2026-06-23,TICK0068,360.1
2026-06-23,TICK0069,78.42
2026-06-23,TICK0070,140.38
2026-06-23,TICK0071,138.7
2026-06-23,TICK0072,317.02
2026-06-23,TICK0073,203.1
2026-06-23,TICK0074,102.57
2026-06-23,TICK0075,196.0
2026-06-23,TICK0076,492.8
2026-06-23,TICK0077,336.38
2026-06-23,TICK0078,146.18
2026-06-23,TICK0079,164.96
2026-06-23,TICK0080,55.03
2026-06-23,TICK0081,408.61
2026-06-23,TICK0082,266.95
